部门名称	序号	小计	市话	国内长途	港澳台长途	国际长途	IP长途	本地声讯台	本地拨号上网	本地400/800	其它	内线	月租
人资部	97.0	145.16	28.93	0.0	0.0	0.0	0.7	0.0	0.0	0.0	30.8	148.3	0.0
动力部-低压班	160.0	12.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.8	0.0	0.0
动力部-变电站	31.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	2.5	0.0
动力部-物业班	86.0	200.01	3.74	0.0	0.0	0.0	44.87	0.0	0.0	0.0	29.8	136.4	0.0
动力部-管理办	234.0	1019.95	37.18	0.0	0.0	0.0	3.5700000000000003	0.0	0.0	0.0	275.2	704.0	0.0
动力部-综合组	102.0	328.81000000000006	18.59	0.0	0.0	0.0	4.83	0.0	0.0	0.0	97.4	323.1	0.0
动力部-锅炉房	280.0	140.47	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.2	103.2	0.0
合计	0.0	17709.08	2557.79	0.56	0.0	0.0	2741.41	0.22	0.0	0.0	3283.8	9125.3	0.0
后勤部-招待所	65.0	14.71	0.22	0.0	0.0	0.0	16.73	0.0	0.0	0.0	2.2	9.2	0.0
后勤部-汽车班	193.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2	59.6	0.0
后勤部-物业班	12.0	52.3	0.0	0.0	0.0	0.0	27.3	0.0	0.0	0.0	2.0	23.0	0.0
后勤部-管理办	157.0	806.75	104.94	0.56	0.0	0.0	2.45	0.22	0.0	0.0	179.4	594.9	0.0
国家轨道衡计量站	262.0	67.7	39.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	25.0	0.0
多经部-仓储	77.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	0.0
多经部-土地组	80.0	60.34	9.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.8	45.5	0.0
多经部-综合组	79.0	63.64	0.44	0.0	0.0	0.0	1.82	0.0	0.0	0.0	44.599999999999994	53.3	0.0
安质部	78.0	120.33000000000001	7.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	148.79999999999998	0.0
实验评定部-基础所	106.0	361.17	49.17	0.0	0.0	0.0	76.92999999999999	0.0	0.0	0.0	102.2	161.2	0.0
实验评定部-英迈	136.0	1870.3	730.47	0.0	0.0	0.0	278.46	0.0	0.0	0.0	272.6	738.0	0.0
工电部-供电组	113.0	118.03999999999999	0.6599999999999999	0.0	0.0	0.0	0.28	0.0	0.0	0.0	6.6	135.7	0.0
工电部-信号组	105.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4	44.800000000000004	0.0
工电部-工务组	106.0	45.06	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.4	38.900000000000006	0.0
工电部-接触网组	95.0	14.98	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2	16.9	0.0
工电部-综合组	98.0	242.88	19.910000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.6	293.8	0.0
工电部-通信组	86.0	39.61	2.2	0.0	0.0	0.0	30.03	0.0	0.0	0.0	23.8	15.5	0.0
市场部	118.0	319.8	24.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.800000000000004	235.8	0.0
总工室安质部	141.0	654.09	49.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.2	502.5	0.0
接触网零部件检验站	244.0	288.24	237.04999999999998	0.0	0.0	0.0	56.49	0.0	0.0	0.0	6.0	10.4	0.0
机车车辆检验站	51.0	347.49	142.23	0.0	0.0	0.0	13.72	0.0	0.0	0.0	44.2	179.3	0.0
标准所通号站	72.0	0.44	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
物流部-南货场	260.0	28.98	0.44	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.8	26.9	0.0
物流部-开平线	172.0	99.69	0.99	0.0	0.0	0.0	2.8	0.0	0.0	0.0	19.6	76.3	0.0
科信部	64.0	74.78	13.53	0.0	0.0	0.0	5.74	0.0	0.0	0.0	34.6	61.900000000000006	0.0
综合部	194.0	2327.87	264.0	0.0	0.0	0.0	62.09	0.0	0.0	0.0	518.0	1657.7	0.0
综治办	168.0	40.98	25.41	0.0	0.0	0.0	0.35	0.0	0.0	0.0	19.6	0.0	0.0
试验部-信号工区	107.0	66.28	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2	58.2	0.0
试验部-工务工区	36.0	14.07	0.77	0.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	2.3	0.0
试验部-接触网工区	71.0	99.84	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.6	62.8	0.0
试验部-管理办	146.0	729.77	55.77	0.0	0.0	0.0	6.3	0.0	0.0	0.0	108.4	559.3	0.0
试验部-综合组	139.0	813.48	26.95	0.0	0.0	0.0	0.63	0.0	0.0	0.0	134.0	726.5	0.0
试验部-轨道车室	301.0	175.32999999999998	15.07	0.0	0.0	0.0	6.86	0.0	0.0	0.0	24.8	151.6	0.0
试验部-运转室	43.0	1777.43	488.95	0.0	0.0	0.0	749.77	0.0	0.0	0.0	539.4	144.29999999999998	0.0
试验部-通信信息化组	243.0	469.16999999999996	31.79	0.0	0.0	0.0	203.28	0.0	0.0	0.0	129.2	104.9	0.0
财务部	234.0	500.82	22.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.6	453.59999999999997	0.0
资产管理部	112.0	1541.29	141.68	0.0	0.0	0.0	107.66	0.0	0.0	0.0	345.0	1122.6	0.0
轮轴检验评估综合试验室	208.0	6.87	1.87	0.0	0.0	0.0	3.29	0.0	0.0	0.0	4.4	0.6	0.0
铁道金化站	134.0	1378.95	163.79	0.0	0.0	0.0	1190.6299999999999	0.0	0.0	0.0	33.0	63.8	0.0
铝热焊	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
高速轮轨关系试验室	19.0	5.81	0.0	0.0	0.0	0.0	5.81	0.0	0.0	0.0	0.0	0.0	0.0
默认部门	31.0	107.3	0.88	0.0	0.0	0.0	22.54	0.0	0.0	0.0	80.4	24.7	0.0
